ComID,Committee,cat1,cat2,totspend,gave to pacs,received from pacs
40877,Xcel Energy Employees PAC (fka Power PAC),pac,biz,100890,FALSE,FALSE
30656,National Assn of Realtors Fund,pac,biz,95179.55,FALSE,FALSE
30331,IBEW - COPE,pac,labor,93500,TRUE,FALSE
30019,UTU PAC-MN,pac,labor,92975,FALSE,TRUE
30192,Saint Paul Teachers Pension PAC,pac,labor,91950,FALSE,TRUE
41023,North Star SFAA-PAC,pac,biz,91905,FALSE,TRUE
80021,CWA COPE PCC,pac,labor,85100,FALSE,TRUE
30064,Local 28 Political Fund,pac,labor,83500,FALSE,TRUE
30218,Hospitality Political Action Committee,pac,biz,82662,FALSE,TRUE
30602,SEIU Local 26 Political Fund,pac,labor,81852.47,TRUE,TRUE
40295,Friends of DFL Women,pac,prodfl,80550,TRUE,TRUE
80012,Planned Parenthood of Minn Pol Action Fund,pac,issue,79988.7,FALSE,TRUE
30224,CUVOL,pac,biz,79670,FALSE,TRUE
40248,Independent Community Bankers of Minn PAC,pac,biz,78855,FALSE,FALSE
40238,Rural Electric Political Action Comm,pac,biz,78571.4,FALSE,TRUE
30599,Minn Pipe Trades Assn PAC Fund,pac,labor,76708.66,TRUE,TRUE
30293,MAFMIC Political Action Committee,pac,biz,75310,FALSE,FALSE
70047,ACEC/MN Political Action Committee,pac,issue,74918.11,FALSE,FALSE
30174,United Food & Commerical Workers Council 6,pac,labor,73706,FALSE,FALSE
30635,Housing First,pac,issue,72756.41,FALSE,TRUE
30239,Pipe Fitters Local 539,pac,labor,71888.07,FALSE,TRUE
40275,Public Emp Pension Serv Assn (PEPSA) Pol Fund,pac,labor,70765,FALSE,TRUE
30085,Police Officers Fed of Mpls Contingency Fund,pac,labor,70750,FALSE,FALSE
30128,Minneapolis Police Relief Assoc,pac,labor,68856.59,FALSE,TRUE
30190,MCCL State Pac,pac,issue,65999.53,FALSE,FALSE
30563,Bois Forte Political Education Fund,pac,indian,65100,FALSE,TRUE
70013,TwinWest Chamber of Commerce PAC,pac,biz,64638.29,TRUE,TRUE
40019,Food PAC of Minn,pac,biz,64275,FALSE,TRUE
40991,FEAPAC - MINN,pac,biz,63302.5,FALSE,TRUE
40821,Pine Bend PAC,pac,,62220,FALSE,FALSE
30111,Minn Chiropractic Political Action Comm,pac,biz,62212.5,FALSE,TRUE
40094,IBEW Local #31 Volunteer COPE Fund,pac,labor,60595,FALSE,TRUE
40825,GREAT (Great River Energy Action Team-State),pac,biz,60000,FALSE,TRUE
40268,womenwinning State PAC,pac,prodfl,59900,TRUE,FALSE
30557,NAIOP Economic Growth Fund,pac,biz,59750,TRUE,TRUE
70035,NRA Political Victory Fund,pac,issue,59705.85,FALSE,FALSE
41021,VOICES of Conservative Women State PAC (VOICESPAC),pac,prorpm,59204.39,TRUE,TRUE
40789,Minn Power PAC,pac,biz,58780,FALSE,TRUE
30098,Minn Professional Fire Fighters PAC,pac,labor,58176.67,FALSE,TRUE
40666,Minn Manufactured Home PAC,pac,biz,57120,FALSE,TRUE
30123,Minneapolis Retired Police Assoc Political Fund,pac,labor,53975,FALSE,TRUE
70022,Minn Soybean PAC,pac,biz,53325,FALSE,FALSE
30127,Minn Cable Comm Assoc - PAC,pac,biz,52745,FALSE,FALSE
40069,Northwest Petroleum NPPAC,pac,biz,52620,FALSE,TRUE
30606,UNITE HERE TIP State and Local Fund-MN,pac,labor,52500,FALSE,TRUE
30236,IBEW Local 343 Political Education Fund (fka Electr Loc 343 IBEW Ed Fd),pac,labor,51710.88,FALSE,TRUE
30584,Best & Flanagan Political Fund,pac,lawyers,51537.5,FALSE,TRUE
40098,Road PAC of Minn,pac,biz,50798.22,TRUE,TRUE
30587,Goff Public PAC,pac,biz,50550,FALSE,TRUE
41005,Edinans for Erhardt,pac,candidate,49961.94,TRUE,TRUE
40790,St Paul Regional Labor Federation AFL-CIO (fka St Pl Trds & Lbr Asmbly PAC),pac,labor,49729.01,TRUE,TRUE
70010,MABC PAC,pac,,47535.88,FALSE,TRUE
30012,Minneapolis Bldg & Construct Trades Council,pac,labor,46548.8,TRUE,TRUE
30288,Minn Police & Peace Officers Assoc Leg Fund,pac,labor,46535.25,TRUE,TRUE
70024,Aging Services of Minn (fka MHHA PAC),pac,biz,46500,FALSE,FALSE
